年,月,日,競艇場番号,レース番号,距離,天候,風向き,風速,波高,着,艇,登番,モーター,ボート,展示タイム,進入番号,スタートタイミング,レースタイム
2025,07,09,17,1,1800,晴,東,1,1,3,2,3955,36,77,6.86,2,0.09,1.54.4
2025,07,09,17,1,1800,晴,東,1,1,4,4,5154,15,29,6.82,4,0.12,1.55.2
2025,07,09,17,1,1800,晴,東,1,1,5,5,3928,25,35,6.88,5,0.02,2.00.4
2025,07,09,17,2,1800,晴,東,1,1,1,4,4264,13,61,6.82,4,0.12,1.51.3
2025,07,09,17,2,1800,晴,東,1,1,2,3,3265,29,55,6.82,2,0.18,1.52.7
2025,07,09,17,2,1800,晴,東,1,1,3,1,4164,79,82,6.75,1,0.16,1.54.4
2025,07,09,17,2,1800,晴,東,1,1,4,5,5134,54,27,6.83,5,0.10,1.55.4
2025,07,09,17,2,1800,晴,東,1,1,5,2,4062,71,69,6.81,3,0.22,1.56.7
2025,07,09,17,2,1800,晴,東,1,1,6,6,4180,55,57,6.84,6,0.15,1.58.2
2025,07,09,17,3,1800,晴,東,2,2,1,1,5064,14,75,6.80,1,0.07,1.51.0
2025,07,09,17,3,1800,晴,東,2,2,2,3,5132,16,12,6.85,3,0.05,1.52.2
2025,07,09,17,3,1800,晴,東,2,2,3,5,3950,68,67,6.82,5,0.05,1.54.4
2025,07,09,17,3,1800,晴,東,2,2,4,6,4811,12,14,6.81,6,0.08,1.55.9
2025,07,09,17,3,1800,晴,東,2,2,5,4,4703,75,24,6.82,4,0.04,1.59.9
2025,07,09,17,3,1800,晴,東,2,2,6,2,3834,30,32,6.90,2,0.19,2.02.3
2025,07,09,17,4,1800,晴,南,1,1,1,1,5278,57,17,6.83,1,0.19,1.51.2
2025,07,09,17,4,1800,晴,南,1,1,2,3,3787,27,28,6.79,3,0.18,1.52.8
2025,07,09,17,4,1800,晴,南,1,1,3,5,4445,69,70,6.77,5,0.19,1.54.3
2025,07,09,17,4,1800,晴,南,1,1,4,2,3176,33,53,6.87,2,0.22,1.55.8
2025,07,09,17,4,1800,晴,南,1,1,5,6,4204,20,54,6.72,6,0.28,1.56.3
2025,07,09,17,4,1800,晴,南,1,1,6,4,4260,52,23,6.86,4,0.24,1.59.5
2025,07,09,17,5,1800,晴,南,2,2,1,4,4812,60,81,6.72,4,0.14,1.50.7
2025,07,09,17,5,1800,晴,南,2,2,2,1,4434,53,50,6.77,1,0.10,1.52.4
2025,07,09,17,5,1800,晴,南,2,2,3,5,4514,21,58,6.79,5,0.28,1.54.3
2025,07,09,17,5,1800,晴,南,2,2,4,6,5037,77,56,6.71,6,0.30,1.55.6
2025,07,09,17,5,1800,晴,南,2,2,5,3,4483,76,80,6.78,3,0.15,1.57.3
2025,07,09,17,5,1800,晴,南,2,2,6,2,3928,25,35,6.85,2,0.16,2.02.3
2025,07,09,17,6,1800,晴,南西,3,3,1,1,4973,34,21,6.76,1,0.06,1.50.8
2025,07,09,17,6,1800,晴,南西,3,3,2,6,4516,73,60,6.79,5,0.15,1.51.8
2025,07,09,17,6,1800,晴,南西,3,3,3,3,5014,58,34,6.77,2,0.10,1.54.1
