予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数,1着回数,2着回数
0,,2025,7,17,23,2,,3,4871,33,54,B1,5.08,32.87,45.45,38.1,3.4,4.0,4.0,13.0,16.0
0,,2025,7,17,23,2,,4,5312,24,53,B2,2.29,38.57,29.89,0.0,4.2,0.0,0.0,0.0,1.0
0,,2025,7,17,23,2,,5,3953,48,53,B1,3.8,27.14,40.22,0.0,3.2,0.0,0.0,5.0,7.0
0,,2025,7,17,23,2,,6,3273,59,52,B1,4.53,39.63,17.2,0.0,3.6,0.0,0.0,10.0,15.0
1,,2025,7,17,23,3,,1,4879,30,53,A2,5.35,31.05,23.26,64.2,3.3,6.0,3.0,22.0,15.0
0,,2025,7,17,23,3,,2,4978,31,56,B1,3.95,36.41,40.0,20.0,4.0,1.0,2.0,6.0,10.0
0,,2025,7,17,23,3,,3,4640,34,52,A2,5.69,38.65,22.22,33.3,2.9,2.0,4.0,23.0,20.0
0,,2025,7,17,23,3,,4,4007,46,50,B1,4.87,26.54,29.67,26.3,1.4,3.0,2.0,8.0,13.0
0,,2025,7,17,23,3,,5,3776,50,54,B1,3.46,32.88,37.93,0.0,3.4,0.0,0.0,7.0,9.0
0,,2025,7,17,23,3,,6,3715,50,54,B1,5.43,29.49,31.11,6.2,3.9,0.0,1.0,10.0,13.0
1,,2025,7,17,23,4,,1,4111,45,57,B1,5.03,34.55,35.96,75.0,3.8,12.0,3.0,20.0,16.0
1,,2025,7,17,23,4,,2,4296,38,52,A1,7.0,30.64,21.05,57.8,2.8,3.0,8.0,31.0,31.0
0,,2025,7,17,23,4,,3,4035,46,52,B1,3.77,37.61,29.63,15.7,4.8,1.0,2.0,14.0,12.0
0,,2025,7,17,23,4,,4,5309,20,52,B2,1.42,37.78,53.85,0.0,4.6,0.0,0.0,0.0,0.0
0,,2025,7,17,23,4,,5,4448,38,53,A1,6.37,37.99,41.03,50.0,3.4,2.0,3.0,23.0,20.0
0,,2025,7,17,23,4,,6,4588,34,55,A2,6.32,25.65,26.44,5.5,4.6,0.0,1.0,22.0,17.0
1,,2025,7,17,23,5,,1,4650,41,53,A1,6.21,28.1,25.0,81.4,3.1,18.0,4.0,30.0,24.0
0,,2025,7,17,23,5,,2,5041,26,51,B1,4.88,34.74,32.1,29.4,3.1,3.0,2.0,18.0,7.0
0,,2025,7,17,23,5,,3,3527,54,52,B1,5.24,31.47,40.0,31.5,3.2,1.0,5.0,14.0,21.0
0,,2025,7,17,23,5,,4,5199,23,55,B1,4.69,31.96,36.47,30.0,1.8,1.0,2.0,5.0,12.0
0,,2025,7,17,23,5,,5,5348,21,52,B2,1.81,30.46,41.67,0.0,0.0,0.0,0.0,0.0,0.0
0,,2025,7,17,23,5,,6,4213,41,53,B1,5.08,35.82,18.6,13.3,4.0,1.0,3.0,10.0,20.0
1,,2025,7,17,23,6,,1,3953,48,53,B1,3.8,27.14,40.22,54.5,2.1,4.0,2.0,5.0,7.0
0,,2025,7,17,23,6,,2,3663,55,50,B1,5.03,29.36,29.76,37.0,3.8,3.0,7.0,13.0,25.0
0,,2025,7,17,23,6,,3,4772,32,57,A1,5.81,46.36,31.82,30.0,1.9,0.0,3.0,32.0,18.0
0,,2025,7,17,23,6,,4,4873,31,52,A2,5.66,28.76,23.86,33.3,4.1,1.0,4.0,13.0,25.0
0,,2025,7,17,23,6,,5,3922,50,51,B1,3.78,33.33,35.71,5.0,3.6,0.0,1.0,7.0,10.0
0,,2025,7,17,23,6,,6,4948,32,51,B1,5.31,27.73,22.99,13.0,3.9,0.0,3.0,22.0,24.0
1,,2025,7,17,23,7,,1,4007,46,50,B1,4.87,26.54,29.67,70.0,2.6,3.0,4.0,8.0,13.0
0,,2025,7,17,23,7,,2,4471,38,53,A1,7.2,36.21,33.7,45.4,3.7,3.0,7.0,33.0,19.0
0,,2025,7,17,23,7,,3,3211,63,56,B1,3.78,26.32,40.74,26.6,3.5,0.0,4.0,3.0,8.0
0,,2025,7,17,23,7,,4,4475,37,55,A1,5.85,29.32,29.07,40.0,2.5,2.0,4.0,27.0,19.0
0,,2025,7,17,23,7,,5,5417,19,51,B2,1.54,30.05,34.48,0.0,0.0,0.0,0.0,0.0,0.0
0,,2025,7,17,23,7,,6,4871,33,54,B1,5.08,32.87,45.45,0.0,3.2,0.0,0.0,13.0,16.0
0,,2025,7,17,23,8,,1,3867,50,56,B1,3.6,33.82,37.5,30.7,3.5,3.0,1.0,6.0,5.0
0,,2025,7,17,23,8,,2,3975,48,52,B1,5.46,34.03,41.57,40.0,3.4,1.0,9.0,20.0,31.0
0,,2025,7,17,23,8,,3,4604,37,53,A1,7.14,37.96,34.88,50.0,3.1,0.0,9.0,28.0,34.0
0,,2025,7,17,23,8,,4,3776,50,54,B1,3.46,32.88,37.93,12.5,4.2,0.0,2.0,7.0,9.0
0,,2025,7,17,23,8,,5,3273,59,52,B1,4.53,39.63,17.2,0.0,3.1,0.0,0.0,10.0,15.0
0,,2025,7,17,23,8,,6,5309,20,52,B2,1.42,37.78,53.85,0.0,3.9,0.0,0.0,0.0,0.0
1,,2025,7,17,23,9,,1,4978,31,56,B1,3.95,36.41,40.0,75.0,3.4,4.0,2.0,6.0,10.0
0,,2025,7,17,23,9,,2,3964,46,55,B1,4.16,39.57,50.65,27.7,4.0,1.0,4.0,9.0,9.0
0,,2025,7,17,23,9,,3,4111,45,57,B1,5.03,34.55,35.96,27.2,3.8,2.0,4.0,20.0,16.0
0,,2025,7,17,23,9,,4,4064,45,52,A1,6.63,42.38,33.71,25.0,3.2,1.0,7.0,39.0,34.0
0,,2025,7,17,23,9,,5,5312,24,53,B2,2.29,38.57,29.89,6.6,4.1,0.0,1.0,0.0,1.0
0,,2025,7,17,23,9,,6,5348,21,52,B2,1.81,30.46,41.67,0.0,4.3,0.0,0.0,0.0,0.0
1,,2025,7,17,23,10,,1,4315,41,54,B1,4.77,27.18,27.91,65.3,3.4,11.0,6.0,16.0,25.0
1,,2025,7,17,23,10,,2,4873,31,52,A2,5.66,28.76,23.86,66.6,3.7,2.0,8.0,13.0,25.0
0,,2025,7,17,23,10,,3,4296,38,52,A1,7.0,30.64,21.05,26.6,2.5,2.0,2.0,31.0,31.0
0,,2025,7,17,23,10,,4,3606,53,51,A2,5.39,40.95,23.91,25.0,3.7,0.0,4.0,16.0,24.0
0,,2025,7,17,23,10,,5,5041,26,51,B1,4.88,34.74,32.1,33.3,3.4,3.0,3.0,18.0,7.0
0,,2025,7,17,23,10,,6,4292,40,54,A2,6.34,41.92,24.42,11.7,3.2,0.0,2.0,22.0,19.0
1,,2025,7,17,23,11,,1,3527,54,52,B1,5.24,31.47,40.0,73.6,2.6,10.0,4.0,14.0,21.0
0,,2025,7,17,23,11,,2,4448,38,53,A1,6.37,37.99,41.03,43.7,3.6,4.0,3.0,23.0,20.0
0,,2025,7,17,23,11,,3,4879,30,53,A2,5.35,31.05,23.26,40.0,2.5,4.0,4.0,22.0,15.0
0,,2025,7,17,23,11,,4,5330,21,51,B1,5.19,26.26,34.09,26.3,2.9,4.0,1.0,11.0,10.0
0,,2025,7,17,23,11,,5,4253,42,57,B1,4.04,28.17,36.14,7.4,4.1,1.0,1.0,12.0,14.0
0,,2025,7,17,23,11,,6,3663,55,50,B1,5.03,29.36,29.76,7.1,3.2,0.0,1.0,13.0,25.0
1,,2025,7,17,23,12,,1,4604,37,53,A1,7.14,37.96,34.88,100.0,2.0,22.0,4.0,28.0,34.0
0,,2025,7,17,23,12,,2,4588,34,55,A2,6.32,25.65,26.44,40.0,2.4,2.0,4.0,22.0,17.0
0,,2025,7,17,23,12,,3,4650,41,53,A1,6.21,28.1,25.0,44.4,2.9,2.0,6.0,30.0,24.0
0,,2025,7,17,23,12,,4,4812,35,51,A2,5.88,27.44,29.41,45.4,2.7,3.0,2.0,24.0,13.0
0,,2025,7,17,23,12,,5,4475,37,55,A1,5.85,29.32,29.07,26.6,3.1,1.0,3.0,27.0,19.0
0,,2025,7,17,23,12,,6,4640,34,52,A2,5.69,38.65,22.22,0.0,4.0,0.0,0.0,23.0,20.0
1,,2025,7,17,22,1,,1,4627,39,47,A2,5.65,45.31,27.27,71.4,1.3,8.0,2.0,14.0,14.0
0,,2025,7,17,22,1,,2,5195,23,44,B1,5.04,31.25,42.19,23.0,3.0,0.0,3.0,3.0,8.0
0,,2025,7,17,22,1,,3,5272,23,47,B1,3.45,29.67,26.67,13.3,3.5,0.0,2.0,9.0,8.0
0,,2025,7,17,22,1,,4,3994,46,46,B1,5.1,36.78,36.36,36.8,4.1,2.0,5.0,13.0,25.0
0,,2025,7,17,22,1,,5,3704,51,48,B1,3.75,28.75,30.91,0.0,4.7,0.0,0.0,4.0,1.0
0,,2025,7,17,22,1,,6,5335,20,47,B1,2.78,28.4,27.42,11.3,4.1,1.0,4.0,1.0,8.0
1,,2025,7,17,22,2,,1,5296,23,46,B1,4.23,44.62,19.23,0.0,0.0,0.0,0.0,4.0,10.0
0,,2025,7,17,22,2,,2,5317,24,46,B1,3.55,28.17,35.29,0.0,6.0,0.0,0.0,2.0,4.0
0,,2025,7,17,22,2,,3,4456,36,45,A1,6.51,43.86,49.23,42.8,3.5,3.0,6.0,30.0,23.0
0,,2025,7,17,22,2,,4,4349,39,50,B1,4.91,28.24,20.37,15.3,2.8,0.0,2.0,15.0,20.0
0,,2025,7,17,22,2,,5,5327,21,49,B2,1.06,35.79,34.48,0.0,4.3,0.0,0.0,0.0,0.0
0,,2025,7,17,22,2,,6,4556,35,47,B2,6.08,34.85,50.0,0.0,0.0,0.0,0.0,3.0,4.0
1,,2025,7,17,22,3,,1,3579,52,48,B1,5.05,44.19,36.51,71.4,2.8,6.0,4.0,15.0,12.0
0,,2025,7,17,22,3,,2,5250,23,45,B1,3.42,40.35,33.82,14.2,4.1,1.0,0.0,2.0,0.0
1,,2025,7,17,22,3,,3,4190,44,50,A1,6.01,34.41,43.55,58.8,3.4,3.0,7.0,31.0,20.0
0,,2025,7,17,22,3,,4,5203,21,45,B1,4.2,33.33,28.36,13.6,2.6,0.0,3.0,6.0,13.0
0,,2025,7,17,22,3,,5,3357,56,49,B1,4.47,35.16,27.12,0.0,4.6,0.0,0.0,7.0,10.0
0,,2025,7,17,22,3,,6,5264,25,44,B1,4.05,29.31,26.98,7.6,3.8,0.0,1.0,14.0,15.0
1,,2025,7,17,22,4,,1,5281,22,47,B1,5.93,44.59,30.51,69.2,2.9,7.0,2.0,15.0,17.0
0,,2025,7,17,22,4,,2,4317,40,48,B1,4.06,22.81,38.67,45.4,3.3,2.0,3.0,3.0,8.0
0,,2025,7,17,22,4,,3,4240,41,45,A1,6.14,29.85,37.5,50.0,2.9,9.0,5.0,31.0,31.0
0,,2025,7,17,22,4,,4,3518,57,48,B1,4.34,39.39,24.59,17.6,2.9,2.0,1.0,6.0,11.0
0,,2025,7,17,22,4,,5,4765,35,50,B1,5.41,42.11,22.73,35.2,2.2,5.0,1.0,20.0,11.0
0,,2025,7,17,22,4,,6,4447,38,49,A2,6.23,38.82,44.62,5.0,3.7,1.0,0.0,23.0,18.0
1,,2025,7,17,22,5,,1,4014,45,47,A2,5.78,38.98,37.66,72.0,3.6,11.0,7.0,16.0,22.0
0,,2025,7,17,22,5,,2,5078,27,46,B1,4.8,42.25,38.57,50.0,3.6,0.0,4.0,3.0,8.0
0,,2025,7,17,22,5,,3,3994,46,46,B1,5.1,36.78,36.36,32.0,3.0,2.0,6.0,13.0,25.0
0,,2025,7,17,22,5,,4,5144,24,46,B1,4.25,38.16,20.31,23.0,3.7,1.0,2.0,5.0,9.0
0,,2025,7,17,22,5,,5,5193,23,46,A2,6.29,43.08,35.48,31.2,3.3,2.0,3.0,19.0,21.0
0,,2025,7,17,22,5,,6,4123,43,47,A1,6.9,48.48,32.76,26.6,3.7,1.0,3.0,27.0,28.0
1,,2025,7,17,22,6,,1,4045,45,47,B1,4.69,33.82,30.51,59.2,3.6,13.0,3.0,21.0,18.0
0,,2025,7,17,22,6,,2,4525,37,47,B1,4.34,44.12,26.76,21.0,2.3,0.0,4.0,8.0,11.0
0,,2025,7,17,22,6,,3,5195,23,44,B1,5.04,31.25,42.19,21.4,2.7,0.0,3.0,3.0,8.0
0,,2025,7,17,22,6,,4,4530,36,45,A1,6.92,35.06,33.82,31.2,2.9,3.0,2.0,31.0,18.0
0,,2025,7,17,22,6,,5,5163,25,46,A1,6.18,37.25,37.93,35.7,3.5,1.0,4.0,28.0,17.0
0,,2025,7,17,22,6,,6,5327,21,49,B2,1.06,35.79,34.48,0.0,4.5,0.0,0.0,0.0,0.0
