予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
0,1,2025,7,14,22,12,2.0,6,4447,38,49,A2,6.23,38.82,44.62,5.0,3.7,1.0,0.0
1,0,2025,7,14,20,1,5.0,1,4498,37,54,B1,4.82,35.86,41.94,52.9,3.6,9.0,0.0
0,0,2025,7,14,20,1,4.0,2,3950,49,56,B1,4.13,55.22,29.73,37.5,2.1,0.0,3.0
0,0,2025,7,14,20,1,3.0,3,4004,47,52,B1,4.55,33.11,67.86,35.0,3.1,1.0,6.0
0,1,2025,7,14,20,1,1.0,4,3736,51,56,B1,4.49,37.09,29.63,20.0,3.0,1.0,1.0
0,0,2025,7,14,20,1,6.0,5,5412,19,43,B2,1.2,26.43,42.86,0.0,0.0,0.0,0.0
0,1,2025,7,14,20,1,2.0,6,3681,52,51,B1,5.16,25.35,27.59,0.0,3.4,0.0,0.0
1,1,2025,7,14,20,2,1.0,1,4082,45,52,B1,5.08,34.93,35.71,54.5,2.8,4.0,2.0
1,1,2025,7,14,20,2,2.0,2,4208,42,48,A1,6.84,29.08,16.67,60.0,3.5,7.0,5.0
0,0,2025,7,14,20,2,6.0,3,5162,25,44,B2,3.78,36.49,33.33,0.0,2.3,0.0,0.0
0,0,2025,7,14,20,2,5.0,4,4943,34,55,B1,4.49,37.09,32.14,14.2,2.9,1.0,0.0
0,0,2025,7,14,20,2,3.0,5,4632,36,52,B1,4.58,21.09,50.0,6.2,3.9,0.0,1.0
0,0,2025,7,14,20,2,4.0,6,4906,30,54,A2,5.81,28.19,39.29,6.6,3.9,0.0,1.0
1,1,2025,7,14,20,3,1.0,1,4214,40,55,A2,5.41,38.51,37.93,78.9,2.2,12.0,3.0
0,0,2025,7,14,20,3,4.0,2,5063,27,54,B1,4.79,45.11,41.94,17.6,3.7,2.0,1.0
0,1,2025,7,14,20,3,2.0,3,4834,37,50,B1,5.11,26.21,33.33,16.0,3.2,1.0,3.0
0,0,2025,7,14,20,3,6.0,4,5314,24,54,B2,2.04,37.59,35.71,0.0,3.6,0.0,0.0
0,0,2025,7,14,20,3,3.0,5,5084,26,53,A1,7.62,29.14,30.0,47.0,2.5,2.0,6.0
0,0,2025,7,14,20,3,5.0,6,4731,36,52,B1,5.64,36.73,25.93,15.3,3.5,0.0,2.0
1,1,2025,7,14,20,4,1.0,1,4925,32,54,A2,5.69,33.81,32.14,62.5,2.9,8.0,2.0
0,0,2025,7,14,20,4,3.0,2,3277,58,52,B1,4.49,35.66,40.0,35.2,4.3,3.0,3.0
1,1,2025,7,14,20,4,2.0,3,4347,40,45,A2,6.32,43.61,25.93,61.5,2.8,6.0,2.0
